Movie_Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres,Release_Year
Walking Tall,46437717,10786173,46000000.0,Metro-Goldwyn-Mayer (MGM),PG-13,86,Crime,2004
Blade: Trinity,52411906,79472029,65000000.0,New Line Cinema,R,113,Action,2004
Blade: Trinity,52411906,79472029,65000000.0,New Line Cinema,R,113,Adventure,2004
Blade: Trinity,52411906,79472029,65000000.0,New Line Cinema,R,113,Fantasy,2004
Blade: Trinity,52411906,79472029,65000000.0,New Line Cinema,R,113,Horror,2004
Blade: Trinity,52411906,79472029,65000000.0,New Line Cinema,R,113,Sci-Fi,2004
Napoleon Dynamite,44540956,1577141,400000.0,Fox Searchlight Pictures,PG,96,Comedy,2004
Exorcist: The Beginning,41821986,36288035,80000000.0,Warner Bros.,R,114,Horror,2004
Exorcist: The Beginning,41821986,36288035,80000000.0,Warner Bros.,R,114,Mystery,2004
Exorcist: The Beginning,41821986,36288035,80000000.0,Warner Bros.,R,114,Thriller,2004
You Got Served,40363810,10212995,8000000.0,Screen Gems,PG-13,95,Drama,2004
You Got Served,40363810,10212995,8000000.0,Screen Gems,PG-13,95,Music,2004
Catwoman,40202379,41900000,100000000.0,Warner Bros.,PG-13,104,Action,2004
Catwoman,40202379,41900000,100000000.0,Warner Bros.,PG-13,104,Crime,2004
Catwoman,40202379,41900000,100000000.0,Warner Bros.,PG-13,104,Fantasy,2004
The Ladykillers,39799191,36866000,35000000.0,Walt Disney Studios Motion Pictures,R,104,Comedy,2004
The Ladykillers,39799191,36866000,35000000.0,Walt Disney Studios Motion Pictures,R,104,Crime,2004
The Ladykillers,39799191,36866000,35000000.0,Walt Disney Studios Motion Pictures,R,104,Thriller,2004
Bridget Jones: The Edge of Reason,40226215,224900703,40000000.0,Universal Pictures,R,108,Comedy,2004
Bridget Jones: The Edge of Reason,40226215,224900703,40000000.0,Universal Pictures,R,108,Drama,2004
Bridget Jones: The Edge of Reason,40226215,224900703,40000000.0,Universal Pictures,R,108,Romance,2004
Sky Captain and the World of Tomorrow,37762677,20184359,70000000.0,Paramount Pictures,PG,106,Action,2004
Sky Captain and the World of Tomorrow,37762677,20184359,70000000.0,Paramount Pictures,PG,106,Adventure,2004
Sky Captain and the World of Tomorrow,37762677,20184359,70000000.0,Paramount Pictures,PG,106,Mystery,2004
Sky Captain and the World of Tomorrow,37762677,20184359,70000000.0,Paramount Pictures,PG,106,Sci-Fi,2004
Sky Captain and the World of Tomorrow,37762677,20184359,70000000.0,Paramount Pictures,PG,106,Thriller,2004
Raising Helen,37486512,12232099,36000000.0,Walt Disney Studios Motion Pictures,PG-13,119,Comedy,2004
Raising Helen,37486512,12232099,36000000.0,Walt Disney Studios Motion Pictures,PG-13,119,Drama,2004
Raising Helen,37486512,12232099,36000000.0,Walt Disney Studios Motion Pictures,PG-13,119,Romance,2004
Taxi,36611066,34167263,25000000.0,Twentieth Century Fox,PG-13,97,Action,2004
Taxi,36611066,34167263,25000000.0,Twentieth Century Fox,PG-13,97,Comedy,2004
Taxi,36611066,34167263,25000000.0,Twentieth Century Fox,PG-13,97,Crime,2004
Taxi,36611066,34167263,25000000.0,Twentieth Century Fox,PG-13,97,Thriller,2004
Eternal Sunshine of the Spotless Mind,34400301,39636414,20000000.0,Focus Features,R,108,Drama,2004
Eternal Sunshine of the Spotless Mind,34400301,39636414,20000000.0,Focus Features,R,108,Romance,2004
Eternal Sunshine of the Spotless Mind,34400301,39636414,20000000.0,Focus Features,R,108,Sci-Fi,2004
Monster,34469210,24000000,8000000.0,Newmarket Films,R,109,Biography,2003
Monster,34469210,24000000,8000000.0,Newmarket Films,R,109,Crime,2003
Monster,34469210,24000000,8000000.0,Newmarket Films,R,109,Drama,2003
Monster,34469210,24000000,8000000.0,Newmarket Films,R,109,Thriller,2003
Alexander,34297191,133001001,155000000.0,Warner Bros.,R,175,Action,2004
Alexander,34297191,133001001,155000000.0,Warner Bros.,R,175,Biography,2004
Alexander,34297191,133001001,155000000.0,Warner Bros.,R,175,Drama,2004
Alexander,34297191,133001001,155000000.0,Warner Bros.,R,175,History,2004
Alexander,34297191,133001001,155000000.0,Warner Bros.,R,175,War,2004
The Punisher,33810189,20889916,33000000.0,Lionsgate,R,124,Action,2004
The Punisher,33810189,20889916,33000000.0,Lionsgate,R,124,Crime,2004
The Punisher,33810189,20889916,33000000.0,Lionsgate,R,124,Drama,2004
The Punisher,33810189,20889916,33000000.0,Lionsgate,R,124,Thriller,2004
Team America: World Police,32786074,18040824,32000000.0,Paramount Pictures,R,98,Action,2004
Team America: World Police,32786074,18040824,32000000.0,Paramount Pictures,R,98,Comedy,2004
Taking Lives,32682342,32788187,45000000.0,Warner Bros.,R,103,Crime,2004
Taking Lives,32682342,32788187,45000000.0,Warner Bros.,R,103,Mystery,2004
Taking Lives,32682342,32788187,45000000.0,Warner Bros.,R,103,Thriller,2004
Anacondas: The Hunt for the Blood Orchid,32238923,38753975,20000000.0,Screen Gems,PG-13,97,Action,2004
Anacondas: The Hunt for the Blood Orchid,32238923,38753975,20000000.0,Screen Gems,PG-13,97,Adventure,2004
Anacondas: The Hunt for the Blood Orchid,32238923,38753975,20000000.0,Screen Gems,PG-13,97,Horror,2004
Anacondas: The Hunt for the Blood Orchid,32238923,38753975,20000000.0,Screen Gems,PG-13,97,Thriller,2004
Cellular,32003620,25674701,25000000.0,New Line Cinema,PG-13,94,Action,2004
Cellular,32003620,25674701,25000000.0,New Line Cinema,PG-13,94,Crime,2004
Cellular,32003620,25674701,25000000.0,New Line Cinema,PG-13,94,Thriller,2004
Johnson Family Vacation,31203964,122219,12000000.0,Fox Searchlight Pictures,PG-13,97,Comedy,2004
Open Water,30610863,24072624,500000.0,Lionsgate,R,79,Adventure,2004
Open Water,30610863,24072624,500000.0,Lionsgate,R,79,Drama,2004
Open Water,30610863,24072624,500000.0,Lionsgate,R,79,Horror,2004
Open Water,30610863,24072624,500000.0,Lionsgate,R,79,Thriller,2004
Calendar Girls,31041759,62359000,10000000.0,Walt Disney Studios Motion Pictures,PG-13,108,Comedy,2003
Calendar Girls,31041759,62359000,10000000.0,Walt Disney Studios Motion Pictures,PG-13,108,Drama,2003
Confessions of a Teenage Drama Queen,29331068,3920822,36000000.0,Walt Disney Studios Motion Pictures,PG,89,Comedy,2004
Confessions of a Teenage Drama Queen,29331068,3920822,36000000.0,Walt Disney Studios Motion Pictures,PG,89,Family,2004
Confessions of a Teenage Drama Queen,29331068,3920822,36000000.0,Walt Disney Studios Motion Pictures,PG,89,Music,2004
Confessions of a Teenage Drama Queen,29331068,3920822,36000000.0,Walt Disney Studios Motion Pictures,PG,89,Romance,2004
The Prince and Me,28176497,9490269,22000000.0,Paramount Pictures,PG,111,Comedy,2004
The Prince and Me,28176497,9490269,22000000.0,Paramount Pictures,PG,111,Family,2004
The Prince and Me,28176497,9490269,22000000.0,Paramount Pictures,PG,111,Romance,2004
After the Sunset,28331233,34326635,60000000.0,New Line Cinema,PG-13,97,Action,2004
After the Sunset,28331233,34326635,60000000.0,New Line Cinema,PG-13,97,Comedy,2004
After the Sunset,28331233,34326635,60000000.0,New Line Cinema,PG-13,97,Crime,2004
After the Sunset,28331233,34326635,60000000.0,New Line Cinema,PG-13,97,Drama,2004
Garden State,26782316,9043000,2500000.0,Fox Searchlight Pictures,R,102,Comedy,2004
Garden State,26782316,9043000,2500000.0,Fox Searchlight Pictures,R,102,Drama,2004
Garden State,26782316,9043000,2500000.0,Fox Searchlight Pictures,R,102,Romance,2004
Spanglish,42726869,12743285,80000000.0,Sony Pictures Entertainment (SPE),PG-13,131,Comedy,2004
Spanglish,42726869,12743285,80000000.0,Sony Pictures Entertainment (SPE),PG-13,131,Drama,2004
Spanglish,42726869,12743285,80000000.0,Sony Pictures Entertainment (SPE),PG-13,131,Romance,2004
Fat Albert,48116322,435000,36000000.0,Twentieth Century Fox,PG,93,Comedy,2004
Fat Albert,48116322,435000,36000000.0,Twentieth Century Fox,PG,93,Family,2004
Fat Albert,48116322,435000,36000000.0,Twentieth Century Fox,PG,93,Fantasy,2004
Fat Albert,48116322,435000,36000000.0,Twentieth Century Fox,PG,93,Romance,2004
Closer,33987757,81517270,27000000.0,Sony Pictures Entertainment (SPE),R,104,Drama,2004
Closer,33987757,81517270,27000000.0,Sony Pictures Entertainment (SPE),R,104,Romance,2004
Jersey Girl,25268157,10224764,35000000.0,Miramax,PG-13,102,Comedy,2004
Jersey Girl,25268157,10224764,35000000.0,Miramax,PG-13,102,Drama,2004
Jersey Girl,25268157,10224764,35000000.0,Miramax,PG-13,102,Romance,2004
Twisted,25198598,15756005,50000000.0,Paramount Pictures,R,97,Crime,2004
Twisted,25198598,15756005,50000000.0,Paramount Pictures,R,97,Drama,2004
Twisted,25198598,15756005,50000000.0,Paramount Pictures,R,97,Mystery,2004
